vesselName,imoNumber,flag,vesselType,grossTonnage,mmsiNumber,yearBuilt
STAMFORD PIONEER,9636943,HK,BULK CARRIER,20954,477462800,2011
GOLDEN SCAPE,9702479,HK,BULK CARRIER,109716,477524500,2016
PVT EAGLE,9145425,VN,TANKER,21609,574427000,1998
STINGRAY,9505871,LR,BULK CARRIER,33044,636019066,2015
MARLIN MYTHIC,9833553,SG,PETROLEUM/CHEMICAL TANKER,29991,563064100,2019
TIGER PERSEVERANCE,9800788,HK,TANKER,8006,477233500,2015
STOLT CONCEPT,9178197,KY,CHEMICAL TANKER,24522,319479000,1998
BRUE,9735256,SG,PETROLEUM PRODUCT TANKER (<60C),2798,566163000,2014
ARISTOS II,9571416,LR,BULK CARRIER,22927,636014817,2011
STOLT EFFORT,9178202,KY,CHEMICAL TANKER,24495,319445000,1999
AIDAPRIMA,9636955,IT,PASSENGER VESSEL,125572,247353800,2016
STI MARSHALL,9833565,SG,PETROLEUM/CHEMICAL TANKER,29991,563085200,2019
SOHO MERCHANT,9702493,MH,BULK CARRIER,36332,538005964,2015
MILAN,9342047,CN,TANKER,2646,413378950,2007
NIKOLAOS,9473121,LR,BULK CARRIER,41342,636013377,2009
BBC KIMBERLEY,9407586,AG,GENERAL CARGO,8750,305392000,2008
ORIENT GLORY,9571428,KR,BULK CARRIER,22888,441970000,2011
PACIFIC NORTH,9604196,MH,BULK CARRIER,94942,567355000,2010
ORIENT MATE,9571430,KR,BULK CARRIER,22888,441980000,2013
MARLIN MODEST,9833577,SG,PETROLEUM/CHEMICAL TANKER,29991,563087800,2019
AGIOS SOSTIS,9473133,LR,BULK CARRIER,41342,636014243,2009
CP SHANGHAI,9702510,MH,BULK CARRIER,36332,538006298,2015
CHANA BHUM,9112686,SG,CONTAINER SHIP,9675,564029000,1996
UNIQUE CARRIER,9374832,HK,BULK CARRIER,91384,477797700,2007
GAS LEO,9735282,HK,LPG,46789,477654800,2015
BBC ECHO,9407603,AG,GENERAL CARGO,8750,305536000,2008
FORTUNE UNION,9178226,PA,BULK CARRIER,38364,636091529,1998
MARLIN MAVERICK,9833589,SG,PETROLEUM/CHEMICAL TANKER,29991,563092400,2019
STI MIRACLE,9833591,SG,PETROLEUM/CHEMICAL TANKER,29991,563098600,2019
GLYFADA I,9473145,MT,BULK CARRIER,41342,248122000,2009
DANU BHUM,9112698,SG,CONTAINER SHIP,9675,564030000,1996
CP GUANGZHOU,9702522,MH,BULK CARRIER,36332,538006435,2015
NORSTAR INVICTUS,9374844,MH,TANKER,42010,538090253,2007
SINAR EMAS,9178238,01,TANKER,13960,564942000,2000
SINAR JOGYA,9178240,01,TANKER,13960,525009064,1998
MTM HOUSTON,9505924,SG,PETROLEUM/CHEMICAL TANKER,11668,566306000,2009
SAMOA,9473157,MT,BULK CARRIER,41342,248147000,2010
KEJORA PTP 81,9833606,MY,TUG BOAT,381,533006300,0
PELOREUS,9702534,MH,BULK CARRIER,93297,538005739,2014
NORDIC TRISTAN,9374856,LR,TANKER,42010,636092902,2007
SEACON 9,9440394,HK,BULK CARRIER,42263,373519000,2009
BRITOIL 121,9538701,SG,TUG BOAT,2375,565457000,2009
ZHONG CHI,9342097,HK,TANKER,26992,477201800,2009
KEJORA PTP 82,9833618,MY,TUG BOAT,381,533006400,0
GALAPAGOS,9473169,MT,BULK CARRIER,41342,248146000,2010
GAS LINE,9014420,PA,LNG,22521,373859000,1992
OCEAN CROWN,9374868,SG,TANKER,62863,565463000,2006
MINERVA HELEN,9276561,GR,TANKER,58156,240147000,2003
LEVIATHAN,9702546,MH,BULK CARRIER,93302,538005810,2014
KEA,9473171,MT,BULK CARRIER,41342,248150000,2010
SONGA DREAM,9505948,MH,CHEMICAL TANKER,11866,357227000,2010
MINERVA ELEONORA,9276573,GR,TANKER,58156,240175000,2004
SELINA,9473183,MH,BULK CARRIER,41342,538006860,2010
CHINA STEEL EXPLORATION,9702560,PA,BULK CARRIER,107075,370359000,2015
GASCHEM LEDA,9374882,LR,LPG,5945,636016112,2007
SPIRIT OF MUMBAI,9178276,LR,CONTAINER SHIP,26047,636090901,1999
SPIRIT OF MUMBAI,9178276,IM,CONTAINER SHIP-FEEDER,26047,232011948,0
YONG SHENG,9243813,HK,CONTAINER SHIP,14357,477265600,2001
MINERVA ROXANNE,9276585,GR,TANKER,58156,240198000,2004
MARMARA S,9473195,PA,BULK CARRIER,33312,351729000,2012
SPIRIT OF COLOMBO,9178288,LR,CONTAINER SHIP,26047,636090904,2000
BAO HE LING,9604275,CN,BULK CARRIER,28780,414776000,2015
MINERVA LISA,9276597,GR,TANKER,58193,240235000,2002
NEXO,9014456,PA,LPG,44549,636009720,1993
NAVIG8 GRACE,9833656,LR,TANKER,30237,636018604,2019
JUMBO JAVELIN,9243837,NL,GENERAL CARGO,15022,246481000,2003
CAPE ASTER,9538749,PA,BULK CARRIER,91543,373083000,2012
JBU SCHELDE,9374911,PA,LNG,9735,370764000,2008
MINERVAGRACHT,9571521,NL,GENERAL CARGO,9524,246769000,2011
GEM NO 1,9735361,PA,TANKER,156853,356593000,2016
IVORY RAY,9505986,LR,CHEMICAL TANKER,11987,636015074,2011
GEORG OLDENDORFF,9702596,PT,BULK CARRIER,44218,255805672,2015
NAVIG8 GALLANTRY,9833668,LR,CHEMICAL TANKER,30237,636018605,2019
NAVIG8 GUARD,9833670,LR,CHEMICAL TANKER,30237,636018606,2019
ESTHER,9309382,MT,TANKER,23246,256945000,2005
DOUBLE SEVEN,9309382,ID,TANKER,23246,525121012,0
NUSA JAYA 15,9637064,SG,TUG BOAT,204,566151000,2010
FAIRPARTNER,9243849,NL,BULK CARRIER,15022,246467000,2002
GISELA OLDENDORFF,9702601,PT,BULK CARRIER,44218,255805765,2015
BAO NING LING,9604299,CN,BULK CARRIER,28780,414778000,2014
OMIROS,9538763,PA,BULK CARRIER,41342,370484000,2011
MOLENGRACHT,9571533,NL,GENERAL CARGO,9524,246770000,2009
GREENWICH PARK,9505998,LR,CHEMICAL TANKER,11987,636015164,2011
GEM NO 2,9735373,PA,TANKER,156853,354264000,2017
BATAMFAST 6,8883408,ID,FERRY BOAT,91,525023092,1976
BUANA BETA,9899210,ID,TUG BOAT,140,525500422,2019
ARDMORE SEAVANTAGE,9637076,MH,TANKER,30030,538005248,2014
BBC MEKONG,9473236,AG,GENERAL CARGO,12795,311056200,2011
EDWARD OLDENDORFF,9702613,MT,BULK CARRIER,25431,256219000,2015
ALTESSE,9440473,MH,TANKER,42264,538003856,2010
ARDMORE SEAVANGUARD,9637088,MH,TANKER,30030,538005249,2014
ELSA OLDENDORFF,9702625,MT,BULK CARRIER,25431,256474000,2015
BBC LEDA,9473248,AG,GENERAL CARGO,12795,304330000,2009
ARAMON,9440485,MH,TANKER,42225,538003755,2010
MMA PRIVILEGE,9735397,SG,OFFSHORE SUPPLY VESSEL,6363,563018000,2013
SINAR SUNDA,9866469,SG,CONTAINER SHIP,20441,563111200,2020
ERNST OLDENDORFF,9702637,MT,GENERAL CARGO,25431,256606000,2015
CHIQUINHO BL,9899246,PA,GENERAL CARGO,1316,354423000,2019
MINERVA NOUNOU,9309423,MT,TANKER,63619,248884000,2006
BOW TRAJECTORY,9669873,NO,CHEMICAL TANKER,30521,257145000,2014
ALIGOTE,9440497,MH,TANKER,42264,538003857,2010
BRIDGEWATER 160,9276664,SG,TUG BOAT,3342,564533000,2002
SPRING SNOW,9473274,MH,BULK CARRIER,41074,538007994,2010
PROSTAR,9833723,LR,TANKER,62427,636018750,2019
XING WANG 99,9899258,CN,FISHING VESSEL,3601,412549166,2020
HOEGH LONDON,9342205,NO,VEHICLE CARRIER,68871,258981000,2008
BOW TRIBUTE,9669885,NO,CHEMICAL TANKER,30521,258802000,2013
TRINITAS,9374973,NL,GENERAL CARGO,8999,244673000,2007
PAG,9440514,HR,TANKER,29735,238009000,2015
VIRGO,9276676,LK,TUG BOAT,3342,417222469,2003
CAPRICORN,9047300,SL,TANKER,3224,533038900,1992
FRIO MARATHON,8916229,PA,REEFER VESSEL,7089,636010125,1990
PROSKY,9833735,LR,TANKER,62427,636018751,2019
MSC RANIA,9309447,PA,CONTAINER SHIP,94489,371752000,2005
BW SEINE,9342217,SG,TANKER,43797,566931000,2007
BOW TRIDENT,9669897,NO,CHEMICAL TANKER,30521,258795000,2014
DORIC BREEZE,9637129,LR,CHEMICAL TANKER,29622,636016005,2013
BOW TRIUMPH,9669902,NO,TANKER,30521,258804000,2015
MARITIME TUNTIGA,9276688,SG,PETROLEUM/CHEMICAL TANKER,29211,566305000,2003
MARITIME KELLY ANNE,9276690,SG,PETROLEUM/CHEMICAL TANKER,29211,566312000,2004
MSC SILVANA,9309459,PA,CONTAINER SHIP,94489,371908000,2005
BW SHINANO,9506069,SG,TANKER,43797,563857000,2008
PSU CHILE,9342231,SG,BULK CARRIER,106334,566168000,2006
MERATUS MEDAN 5,9178393,ID,CONTAINER SHIP,16705,525025103,1998
KRITI JOURNEY,9440538,MH,TANKER,62571,538005006,2010
GREEN PLANET,9669914,LR,TANKER,30264,636016290,2014
LADY HENRIETTA,9604380,MT,TANKER,62452,229049000,2012
HAYDEE,9571612,PA,BULK CARRIER,22414,355146000,2013
MSC HEIDI,9309473,PA,CONTAINER SHIP,94489,372008000,2006
PUSAN,9211169,LR,CONTAINER SHIP,66289,636018212,2000
HYUNDAI PLATINUM,9637155,LR,CONTAINER SHIP,52467,636016038,2012
KELLY,9768227,MH,BULK CARRIER,43463,538007420,2017
HAI DUONG 09,9342243,PA,GENERAL CARGO,7104,356048000,2006
LENA,9538854,SG,PETROLEUM PRODUCT TANKER (<60C),5574,564817000,2007
GREEN SEA,9669926,LR,TANKER,30264,636016291,2014
MOTIVATOR,9604392,SG,LPG,47057,566694000,2011
CABRILLO,9473315,LR,BULK CARRIER,41074,636018675,2010
MARAN HORIZON,9702699,MT,BULK CARRIER,94594,249489000,2016
HOJIN,8916267,LR,VEHICLE CARRIER,57871,576151000,1990
CYMONA STAR,9309485,CY,BULK CARRIER,46982,209317000,2006
BRAHMS,9473327,MT,BULK CARRIER,41074,636092232,2011
BBG GRACE,9702704,HK,BULK CARRIER,43007,477790100,2014
SINARAN TIMUR,9768241,SG,TUG BOAT,217,563032030,2014
STI DUCHESSA,9669938,MH,TANKER,29785,538005225,2014
TRANSATLANTIC,9506100,LR,BULK CARRIER,15808,636017798,2009
GERTRUDIS,9571636,PA,BULK CARRIER,22414,351210000,2013
DANAI,9866548,LR,BULK CARRIER,23232,636019409,2019
MARINA,9309497,CY,BULK CARRIER,46982,209438000,2006
CHERRY POINT,9276731,HK,BULK CARRIER,17979,477250500,2003
BBG HONOR,9702716,HK,BULK CARRIER,43007,477477300,2015
SINARAN GILANG,9768253,SG,TUG BOAT,217,563032020,2013
CHEMROAD WING,9309502,PA,CHEMICAL TANKER,18733,357740000,2005
CAPTAIN TASSOS D,9473341,LR,BULK CARRIER,41074,636017937,2011
BK ALICE,9604419,PA,BULK CARRIER,44737,373234000,2011
AGIA MARINA,9276743,MH,BULK CARRIER,17951,247150300,2003
AGIOS NIKOLAS,9702728,MH,BULK CARRIER,32360,538005890,2014
KIRAN TURKIYE,9473353,MT,BULK CARRIER,92050,215805000,2011
SEA JUSTICE,9309514,PA,GENERAL CARGO,24960,353463000,2004
DIMIJOHN A,9702730,MH,BULK CARRIER,32360,538006083,2015
SPARTA III,9538892,RU,GENERAL CARGO,12679,273396130,2009
NORDERNEY,9506124,AG,GENERAL CARGO,4591,305901000,2008
SPRING LIBERTY,9866574,JP,BULK CARRIER,122981,431810000,2015
CATALONIA,9309526,MT,GENERAL CARGO,24960,215929000,2005
LANGEOOG,9506136,AG,GENERAL CARGO,4591,305973000,2008
NEW INSPIRATION,9669976,PA,BULK CARRIER,21796,0,2012
FANG CHENG GANG,9571674,HK,TANKER,5493,477963300,2008
SCIROCCO,9407835,LR,TANKER,42010,636014043,2009
EXCELLENT 8,9735517,01,TUG BOAT,146,563027780,2013
KEN MEI,9276767,PA,BULK CARRIER,17979,354421000,2003
SPIEKEROOG,9506148,AG,GENERAL CARGO,4591,305997000,2008
ARMADA TUAH 501,9669990,MY,SUPPLY VESSEL,3601,533180028,2013
MAISTROS,9407847,LR,TANKER,42010,636014044,2009
HYUNDAI DREAM,9637222,KR,CONTAINER SHIP,142620,538005371,2013
TAN BINH 246,9276779,PA,BULK CARRIER,17951,351040000,2003
XINANYANG,9473389,CN,TANKER,152740,413157000,2007
MARITEC,9473391,HK,BULK CARRIER,20763,477189500,2008
HYUNDAI HOPE,9637234,MH,CONTAINER SHIP,141868,538005474,2014
JING YUAN 618,9768306,CN,FISHING VESSEL,1419,412331053,2014
GAS STAR,9670004,PA,LPG,47454,354546000,2013
AN CHANG,9407861,CN,BULK CARRIER,30963,412349000,2009
AN NING,9407859,HK,BULK CARRIER,30963,477192700,2006
SC SCORPIO,9801079,HK,CHEMICAL TANKER,26364,477100700,2015
FEDERAL INNOKO,9866615,MH,BULK CARRIER,35828,538008753,2020
SC TAURUS,9801081,HK,CHEMICAL TANKER,26364,477131900,2015
HYUNDAI DRIVE,9637246,MH,CONTAINER SHIP,142620,538005627,2014
GALAXY RIVER,9670016,PA,LPG,46885,372915000,2014
AMEENA JAHAN,9538945,BD,BULK CARRIER,29977,405000293,2010
XIN AN YUAN,9407873,CN,BULK CARRIER,30963,412347000,2009
RANGAKU,9866627,LR,BULK CARRIER,35645,636019797,2020
SC VIRGO,9801093,HK,CHEMICAL TANKER,26364,477150200,2015
NS SILVER,9309576,LR,TANKER,27357,636012464,2005
HYUNDAI VICTORY,9637258,MH,CONTAINER SHIP,142620,538005628,2014
CLEANTEC,9473418,HK,BULK CARRIER,20763,477614500,2008
RIVERTEC,9473420,HK,BULK CARRIER,20763,477661400,2008
HYUNDAI PRIDE,9637260,MH,CONTAINER SHIP,142620,538005629,2014
BERNADETTE,9407885,PT,CONTAINER SHIP,52726,255805797,2009
BAMBOO STAR,9866639,MH,BULK CARRIER,23232,538008586,2019
MAPLE FORTUNE,9473432,HK,BULK CARRIER,20867,477744100,2009
WINNER,9440667,SG,PETROLEUM/CHEMICAL TANKER,11254,565896000,2006
STI EXCEL,9735579,MH,TANKER,42750,538005990,2015
STI EXCELSIOR,9735581,MH,TANKER,42750,538005987,2016
YUN TONG 301,9702821,CN,TUG BOAT,1111,413451590,2013
HAI NAM 89,9309605,VN,BULK CARRIER,19799,371073000,2005
CAPE VERDE,9670054,SG,BULK CARRIER,107054,563640000,2011
STI EXPEDITE,9735593,MH,TANKER,42750,538005985,2016
GLOBAL DIAMOND,9145774,PA,GENERAL CARGO,20395,356375000,1996
ARUNA ISMAIL,9637296,MH,BULK CARRIER,32715,538004999,2013
AEGEAN CLOVER,9670066,JP,BULK CARRIER,107060,351699000,2013
SUNGAI MAS,9178549,ID,CONTAINER SHIP,25497,525024397,1998
IKAN BELIAK,9866677,PA,BULK CARRIER,43471,0,2020
SELIN M,9178551,PA,BULK CARRIER,19731,355105000,1998
STI EXCEED,9735608,MH,TANKER,42750,538005984,2016
LUGANO,9244087,CH,BULK CARRIER,12578,269665000,2003
STI EXPERIENCE,9735610,MH,TANKER,42750,538005989,2016
CELSIUS MONACO,9309629,MH,TANKER,11986,477079700,2005
OCEAN TULIP,9309631,MH,BULK CARRIER,30027,636015692,2006
GAS EMERALD,9342401,HK,LNG,7465,235059141,2006
BOW FLOWER,9047491,NO,TANKER,23197,258925000,1994
BERGE YOTEI,9866691,IM,BULK CARRIER,35752,232024278,2019
STI EXECUTIVE,9735622,MH,TANKER,42869,538005988,2016
LAUREL ISLAND,9801158,PA,BULK CARRIER,23226,356334000,2017
GOLDEN BRILLIANT,9539016,SG,PETROLEUM/CHEMICAL TANKER,9127,565458000,2008
SEIYO PIONEER,9145798,PA,BULK CARRIER,20395,355098000,1996
ALEXANDRA KOSAN,9342413,IM,LPG,7465,235060018,2007
GOLAR ICE,9637325,MH,LNG,102200,538004976,2015
XUAN HIEU GROUP 298,9571791,VN,GENERAL CARGO,1599,574001860,2013
STI EXPRESS,9735634,MH,TANKER,42750,538005983,2016
NCC RIYAD,9047506,SA,CHEMICAL TANKER,23197,403507000,1995
NEW LEO,9113044,LR,GENERAL CARGO,3893,636016994,1997
BERGE TATEYAMA,9866706,IM,BULK CARRIER,35752,232024279,2020
OREA,9670107,MT,CONTAINER SHIP,24528,256558000,2014
BOW CLIPPER,9047518,NO,CHEMICAL TANKER,23197,258947000,1995
STI EXCELLENCE,9735646,MH,TANKER,42750,538005982,2016
GAS PIONEER,8850918,MY,LPG,1173,533050900,1992
HARIS,9670119,MT,CONTAINER SHIP,24528,256728000,2015
CREST CRANE,9473511,PA,GENERAL CARGO,7727,353983000,2007
BW VOLANS,9735660,IM,LPG,47342,235115082,2015
MONDIAL IRIS,9801201,MH,BULK CARRIER,43473,538007522,2017
SPLENDOUR,9145841,PA,CHEMICAL TANKER,27915,354731000,1996
TRUE LIGHT,9473523,MH,GENERAL CARGO,7727,538004474,2007
DS FAVOUR,9473523,PA,BULK CARRIER,7727,372598000,0
SWISSCO 48,9375226,SG,UTILITY VESSEL,2172,565041000,2003
CSB GLORY,9473535,HK,BULK CARRIER,151825,477091800,2010
PSLS 99,9768447,ID,TUG BOAT,280,525003282,0
BINA MARINE 59,9571844,SG,PUSHER TUG,149,563014090,2009
FLY SEAL,9113094,DM,TANKER,7463,325604000,1996
SAHAM,9375238,PA,TANKER,156919,352978000,2010
RAMFORM VICTORY,9178630,BS,RESEARCH/SURVEY VESSEL,10395,311785000,1998
TOYO ENERGY,9276937,PA,GENERAL CARGO,8552,357921000,2003
HARRIER HUNTER,9440784,BE,CONTAINER SHIP,41358,205791000,2019
BOW PROSPER,9866770,NO,CHEMICAL TANKER,22446,257569000,2020
MAGELLAN SPIRIT,9342487,DK,LNG,104169,220636000,0
WHITE INABA,9670169,PA,GENERAL CARGO,9639,548676000,2013
CSB BRILLIANT,9473561,HK,BULK CARRIER,151825,477902100,2011
GLORY EXPLORER,9670171,SG,GENERAL CARGO,8696,566919000,2012
BOW PERSISTENT,9866782,NO,CHEMICAL TANKER,22446,257107350,2020
TOMAR,9375264,MT,VEHICLE CARRIER,61328,235068085,2008
BELNIPPON,9801249,PA,BULK CARRIER,35832,370866000,2018
MIRABELLA,9145889,CK,BULK CARRIER,27011,518100433,1997
GLOBAL HARMONY,9473573,LR,BULK CARRIER,22988,636017696,2010
SAM HAWK,9637416,LR,BULK CARRIER,31760,636016919,2013
MAERSK ANTARES,9342504,SG,CONTAINER SHIP,109534,565661000,2007
GAS GEMINI,8818219,ST,LPG,44493,371158000,1990
SM AURORA,9604653,PA,BULK CARRIER,44737,373229000,2011
CPO NORFOLK,9440813,LR,CONTAINER SHIP,41358,636091992,2009
SEA BASS,9670195,SG,TUG BOAT,295,563022820,2011
SSI DAUNTLESS,9637428,MH,BULK CARRIER,31760,636016920,2013
MAERSK ALFIRK,9342516,SG,CONTAINER SHIP,109534,565747000,2007
TOREADOR,9375288,MT,VEHICLE CARRIER,61328,235068882,2008
COSRISING LAKE,9735737,HK,TANKER,159819,477850600,2015
MEDELIN WEST,8818233,ID,TANKER,9951,525015674,0
DALLY,9473597,MH,BULK CARRIER,20236,538008020,2009
LUCKY JASON,9244221,PA,BULK CARRIER,38846,355701000,2001
MAERSK ALGOL,9342528,SG,CONTAINER SHIP,109534,565819000,2007
SEA WIN I,9670212,SG,TUG BOAT,137,563022170,2012
HARPY HUNTER,9440837,BE,CONTAINER SHIP,41358,205793000,2000
BUNUN NOBLE,9801287,LR,BULK CARRIER,23230,636020142,2020
KMTC JEBEL ALI,9375305,KR,CONTAINER SHIP,40487,440764000,0
KMTC JEBEL ALI,9375305,KR,CONTAINER SHIP,40898,440764000,2008
AGIOS IOANNIS,9244233,CY,BULK CARRIER,38938,209927000,2000
BAKER SPIRIT,9408073,BS,TANKER,83545,311000334,2009
NIKOLAY ZUBOV,9768526,CY,LNG,128806,209351000,2019
BEETHOVEN,9506382,LR,CONTAINER SHIP,26374,636018380,2012
WHITE MARLIN,9670224,MT,HEAVYLOAD SEMI-SUBMERSIBLE,51065,248750000,2015
STAR LUNA,9440849,MH,BULK CARRIER,43168,538007193,2008
LIVITA,9801299,NO,BULK CARRIER,35832,257073000,2017
GRAND ACE5,9375317,PA,TANKER,30048,372172000,2006
WORLDERA 1,9244245,TV,BULK CARRIER,28620,572882210,2001
SHIBUMI,9408085,MT,BULK CARRIER,91740,248389000,2010
ZHE HAI 517,9702998,CN,BULK CARRIER,30171,414180000,2013
DA JI,9768538,CN,GENERAL CARGO,21992,413490410,2016
BALEARES,9506394,MH,CONTAINER SHIP,26374,538005317,2014
DA QING,9768540,CN,GENERAL CARGO,21992,413491180,2017
BW GEMINI,9703007,IM,LPG,47342,235108666,2014
STELLAR CROWN,9735775,MH,BULK CARRIER,152608,538007523,2017
GRAND ACE 6,9375329,PA,CHEMICAL TANKER,30027,372419000,2006
ANTARES LEADER,9539169,PA,VEHICLE CARRIER,60284,432810000,2010
ALTAIR LEADER,9539171,JP,VEHICLE CARRIER,60394,432817000,2010
DA XIANG,9768552,CN,GENERAL CARGO,21992,413491830,2017
JIA YUAN,9735787,MH,LPG,47272,538007028,2016
BW LEO,9703019,IM,LPG,47342,235109137,2014
OPAL ACE,9539183,KY,VEHICLE CARRIER,60131,319058000,2010
UNIORDER,9145970,ID,BULK CARRIER,25977,525119131,0
CLEAN OCEAN,9637492,MH,LNG,105943,538005350,2014
DA GUI,9768564,CN,BULK CARRIER,21992,413492450,2017
GH URBAN SEA,9735799,MH,BULK CARRIER,36291,538007227,2017
PAN DREAM,9539195,PA,BULK CARRIER,92374,354534000,2008
GH RICH WALL,9735804,MH,BULK CARRIER,36291,538007228,2017
IVS MAGPIE,9604732,MH,BULK CARRIER,17019,566263000,2011
MARITIME RATU,9342592,SG,TUG BOAT,476,564532000,2004
CLEAN PLANET,9637507,MH,LNG,105943,538005351,2014
GH SKY BEAUTY,9735816,MH,BULK CARRIER,36367,538007452,2017
IVS IBIS,9604744,SG,BULK CARRIER,17019,566421000,2010
ONYX ACE,9539212,LR,VEHICLE CARRIER,60131,636016096,2010
GLOBAL PASSION,9473676,PA,BULK CARRIER,21192,372179000,2011
FUSHUN,9146003,PA,BULK CARRIER,26586,636090817,1997
KEN SKY,9604756,PA,BULK CARRIER,17019,374589000,2011
CRYSTAL ACE,9539224,MH,VEHICLE CARRIER,60131,538004619,2010
KOOKYANG EXPRESS,9244312,KR,GENERAL CARGO,8739,440090000,2001
BASIC BRAVE,9473690,PA,BULK CARRIER,21213,373701000,2011
SAKURA KOBE,9473688,PA,BULK CARRIER,21192,354561000,2010
DARYA AUM,9768605,HK,BULK CARRIER,44029,477112700,2015
HINASE,9604768,PA,BULK CARRIER,17019,354250000,2010
LEAP HEART,9604770,PA,BULK CARRIER,17025,373531000,2012
BBG FOREVER,9735842,HK,BULK CARRIER,36367,477183200,2015
EMERALD ACE,9539236,MH,VEHICLE CARRIER,60154,538004697,2012
CSC ZHONG HAI,9309863,HK,GENERAL CARGO,9873,477328700,2005
ASD EXULTANT,9637545,01,TUG BOAT,372,566231000,2010
TAN CANG A18,9637545,VN,TUG BOAT,372,574003620,0
ANGEL NO 2,9146027,PA,TANKER,9488,373360000,1996
SEA INSPIRATION,9604782,PA,BULK CARRIER,17027,370128000,0
BUENOS AIRES,9539248,LR,BULK CARRIER,44475,636015455,2011
DRAGON SKY,9539250,PA,BULK CARRIER,49718,372572000,2013
JUSTICE EXPRESS,9473717,PA,TANKER,28725,355546000,2011
THERESA TIGA,9146039,TV,CHEMICAL TANKER,12148,572841210,1996
BLUE DRAGON,9604794,MH,BULK CARRIER,23263,538004481,2010
HYUNDAI HONOUR,9473731,MT,CONTAINER SHIP,141770,248274000,2012
KAPTA MATHIOS,9440966,MH,BULK CARRIER,32415,538006663,2009
NCC MEKKA,9047752,SA,CHEMICAL TANKER,23197,403505001,1995
HL TAEAN,9703112,PA,BULK CARRIER,79560,357061000,2015
CIELO D ITALIA,9539274,LR,BULK CARRIER,63087,352485000,2015
BITUMEN HIKARI,9801419,PA,TANKER,3853,374183000,2017
BRIGHT KOWA,9604811,MH,BULK CARRIER,30655,538004601,2012
FRONT NJORD,9408205,MH,TANKER,83805,538009041,2010
XIN YU,9244362,HK,BULK CARRIER,39035,477345300,0
MTT PULAU PINANG,9146065,MY,CONTAINER SHIP,13448,533180127,1996
BOW FAGUS,9047764,NO,CHEMICAL TANKER,23197,258924000,1995
QUEEN JHANSI,9440980,MH,BULK CARRIER,32415,538006170,2007
KANAZAWA,9244374,LR,CHEMICAL TANKER,9900,636019956,2001
CIELO D EUROPA,9539286,PA,BULK CARRIER,63087,374252000,2016
EVERBRIGHT,9408217,MH,TANKER,83805,0,2010
EVERBRIGHT,9408217,MH,TANKER,84154,538005145,2010
NJORD,9768667,LR,OIL RIG,10531,636019616,2019
CORESHIP OL,9473755,PA,BULK CARRIER,19817,354706000,2012
FLORA 8,9277151,ID,GENERAL CARGO,2616,525005283,2002
ONSAN CHEMI,9244386,KR,CHEMICAL TANKER,6823,354548000,2001
ALMAR,9572070,MH,BULK CARRIER,33139,538004314,2012
TWINLUCK SW,9473767,PA,BULK CARRIER,19817,373558000,2010
AS CALIFORNIA,9342695,PT,CONTAINER SHIP,28340,477071100,2007
MSC PALOMA,9441001,PA,CONTAINER SHIP,153092,371233000,2010
FENG ZHI BAO,9146091,PA,GENERAL CARGO,6264,356588000,1996
WAN HAI 316,9342700,SG,CONTAINER SHIP,27800,565425000,2006
SHUN DA,9113329,PA,BULK CARRIER,26341,370796000,1995
EQUINOX ORENDA,9572082,KY,BULK CARRIER,33139,319153600,2010
DL CAMELLIA,9244403,KR,LPG,3459,441372000,2001
WAN HAI 317,9342712,SG,CONTAINER SHIP,27800,565777000,2006
MARIANNE STOEGER,9604859,PA,BULK CARRIER,44096,353090000,2011
MARGRETH PISSAREK,9604861,PA,BULK CARRIER,44096,356410000,2011
SINO OCEAN,9408255,HK,BULK CARRIER,32957,477528800,2009
C S BRIGHT,9539327,PA,BULK CARRIER,49718,374288000,2016
KMTC MANILA,9375496,KR,CONTAINER SHIP,40898,440728000,2008
SOHO TRADER,9735945,MH,BULK CARRIER,36426,538006157,2015
PORTHOS,9408267,MH,BULK CARRIER,33044,538003518,2010
ADAVEGA,9539339,LR,GENERAL CARGO,7404,351840000,2010
TEAM BRAVO,9539341,MH,BULK CARRIER,21213,0,0
SUNLIGHT LILY,9539341,PA,BULK CARRIER,21213,373522000,2012
KMTC NHAVA SHEVA,9375501,KR,CONTAINER SHIP,40898,440761000,2008
ORKIM INSPIRATION,9572111,MY,TANKER,7626,533000520,2008
B TIGRIS,9211664,KN,CHEMICAL TANKER,4357,567327000,2001
PRO GRACE,9342736,JP,BULK CARRIER,46432,319950000,2007
WEALTHY LOYAL,9637650,MH,TANKER,12320,477413400,2012
CS CELESTE,9670418,MH,BULK CARRIER,24933,538007899,2014
LUMOSO RAYA,9277204,ID,BULK CARRIER,27986,525013025,2003
KMTC CHENNAI,9375513,KR,CONTAINER SHIP,40898,440838000,2008
XIN HAI TONG 16,9408281,PA,BULK CARRIER,33000,352760000,2007
KURUSHIMA,9539353,PA,BULK CARRIER,20079,353188000,2011
OPERA WHITE,9342748,JP,BULK CARRIER,46422,432622000,2007
VS LISBETH,9309978,IM,TANKER,24048,220473000,2006
SEA MERLIN,9637662,SG,TUG BOAT,295,563019440,2010
MARITIME MERIDIAN,9768734,SG,PETROLEUM/CHEMICAL TANKER,33056,566761000,2015
GOLD GEMINI,9342750,MH,BULK CARRIER,29407,538003894,2004
OCEAN GLORY,9735969,VC,LANDING CRAFT,1672,564122000,2016
TOLAK SEPULUH,9277216,SG,PUSHER TUG,361,565280000,2002
